Join_Count,TARGET_FID,JOIN_FID,RegionID,PlanRegion,Polynum,PolyID,LandUnit
1,0,651630,5,ColdLake_Lloydminster,1,ColdLake_Lloydminster_1,09-10-049-07W4
1,1,552442,5,ColdLake_Lloydminster,2,ColdLake_Lloydminster_2,04-30-052-06W4
1,2,654406,5,ColdLake_Lloydminster,3,ColdLake_Lloydminster_3,03-25-052-07W4
1,2,654407,5,ColdLake_Lloydminster,3,ColdLake_Lloydminster_3,04-25-052-07W4
1,3,654651,5,ColdLake_Lloydminster,4,ColdLake_Lloydminster_4,02-36-052-07W4
1,4,654654,5,ColdLake_Lloydminster,5,ColdLake_Lloydminster_5,03-36-052-07W4
1,5,552932,5,ColdLake_Lloydminster,6,ColdLake_Lloydminster_6,04-16-053-06W4
1,6,552801,5,ColdLake_Lloydminster,7,ColdLake_Lloydminster_7,10-11-053-06W4
1,7,554610,5,ColdLake_Lloydminster,8,ColdLake_Lloydminster_8,09-19-055-06W4
1,7,554613,5,ColdLake_Lloydminster,8,ColdLake_Lloydminster_8,16-19-055-06W4
1,8,452264,5,ColdLake_Lloydminster,9,ColdLake_Lloydminster_9,03-07-055-05W4
1,8,452265,5,ColdLake_Lloydminster,9,ColdLake_Lloydminster_9,04-07-055-05W4
1,9,451647,5,ColdLake_Lloydminster,10,ColdLake_Lloydminster_10,07-16-054-05W4
1,10,553687,5,ColdLake_Lloydminster,11,ColdLake_Lloydminster_11,07-14-054-06W4
1,12,451733,5,ColdLake_Lloydminster,13,ColdLake_Lloydminster_13,16-20-054-05W4
1,13,553735,5,ColdLake_Lloydminster,14,ColdLake_Lloydminster_14,01-16-054-06W4
1,14,553540,5,ColdLake_Lloydminster,15,ColdLake_Lloydminster_15,01-07-054-06W4
1,14,553543,5,ColdLake_Lloydminster,15,ColdLake_Lloydminster_15,08-07-054-06W4
1,15,553117,5,ColdLake_Lloydminster,16,ColdLake_Lloydminster_16,14-25-053-06W4
1,15,553374,5,ColdLake_Lloydminster,16,ColdLake_Lloydminster_16,03-36-053-06W4
1,16,553377,5,ColdLake_Lloydminster,17,ColdLake_Lloydminster_17,06-36-053-06W4
1,17,553778,5,ColdLake_Lloydminster,18,ColdLake_Lloydminster_18,16-18-054-06W4
1,19,452361,5,ColdLake_Lloydminster,20,ColdLake_Lloydminster_20,02-12-055-05W4
1,20,452366,5,ColdLake_Lloydminster,21,ColdLake_Lloydminster_21,05-12-055-05W4
1,22,452586,5,ColdLake_Lloydminster,23,ColdLake_Lloydminster_23,13-22-055-05W4
1,23,452254,5,ColdLake_Lloydminster,24,ColdLake_Lloydminster_24,11-07-055-05W4
1,23,452267,5,ColdLake_Lloydminster,24,ColdLake_Lloydminster_24,06-07-055-05W4
1,26,554865,5,ColdLake_Lloydminster,27,ColdLake_Lloydminster_27,01-30-055-06W4
1,28,554936,5,ColdLake_Lloydminster,29,ColdLake_Lloydminster_29,05-33-055-06W4
1,29,451635,5,ColdLake_Lloydminster,30,ColdLake_Lloydminster_30,09-16-054-05W4
1,29,451636,5,ColdLake_Lloydminster,30,ColdLake_Lloydminster_30,10-16-054-05W4
1,30,657081,5,ColdLake_Lloydminster,31,ColdLake_Lloydminster_31,02-36-055-07W4
1,30,657084,5,ColdLake_Lloydminster,31,ColdLake_Lloydminster_31,03-36-055-07W4
1,36,554283,5,ColdLake_Lloydminster,37,ColdLake_Lloydminster_37,05-04-055-06W4
1,37,552737,5,ColdLake_Lloydminster,38,ColdLake_Lloydminster_38,06-07-053-06W4
1,38,554860,5,ColdLake_Lloydminster,39,ColdLake_Lloydminster_39,12-30-055-06W4
1,47,554208,5,ColdLake_Lloydminster,48,ColdLake_Lloydminster_48,05-01-055-06W4
1,48,553227,5,ColdLake_Lloydminster,49,ColdLake_Lloydminster_49,04-29-053-06W4
1,50,554077,5,ColdLake_Lloydminster,51,ColdLake_Lloydminster_51,14-31-054-06W4
1,51,655203,5,ColdLake_Lloydminster,52,ColdLake_Lloydminster_52,16-25-053-07W4
1,52,554309,5,ColdLake_Lloydminster,53,ColdLake_Lloydminster_53,06-05-055-06W4
1,53,553946,5,ColdLake_Lloydminster,54,ColdLake_Lloydminster_54,10-26-054-06W4
1,53,553947,5,ColdLake_Lloydminster,54,ColdLake_Lloydminster_54,15-26-054-06W4
1,56,553554,5,ColdLake_Lloydminster,57,ColdLake_Lloydminster_57,11-08-054-06W4
1,57,554300,5,ColdLake_Lloydminster,58,ColdLake_Lloydminster_58,01-05-055-06W4
1,57,554301,5,ColdLake_Lloydminster,58,ColdLake_Lloydminster_58,02-05-055-06W4
1,57,554302,5,ColdLake_Lloydminster,58,ColdLake_Lloydminster_58,07-05-055-06W4
1,57,554303,5,ColdLake_Lloydminster,58,ColdLake_Lloydminster_58,08-05-055-06W4
1,58,350410,5,ColdLake_Lloydminster,59,ColdLake_Lloydminster_59,12-18-055-04W4
1,58,350423,5,ColdLake_Lloydminster,59,ColdLake_Lloydminster_59,05-18-055-04W4
1,60,553238,5,ColdLake_Lloydminster,61,ColdLake_Lloydminster_61,16-30-053-06W4
1,61,656283,5,ColdLake_Lloydminster,62,ColdLake_Lloydminster_62,16-01-055-07W4
